business_id,weekday,hour,checkins
3Mc-LxcqeguOXOVT_2ZtCg,Tue,0:00,12
SVFx6_epO22bZTZnKwlX7g,Wed,0:00,4
vW9aLivd4-IorAfStzsHww,Tue,14:00,1
tEzxhauTQddACyqdJ0OPEQ,Fri,19:00,1
CEyZU32P-vtMhgqRCaXzMA,Tue,17:00,1
9dn5pee_n2dWQfN57xoJpg,Sun,3:00,5
6Zk5F7fsTr8n2CJTlaxHlw,Wed,1:00,4
OE_IDW5w_W97sBcZvq2Img,Sat,1:00,1
gy5pr5bFAjOL5rERSdMCLg,Sat,15:00,1
r2-eAhGANXlcgQy898tTaw,Mon,19:00,1
wiBxwslJAGDdZ2nmLOWDjg,Mon,16:00,1
08jURVR_eDvXq9scdIgcmg,Sat,23:00,1
BlWPjh2WuvQSlmYmgFsylg,Sun,0:00,1
6DO_2jivyxcL6SXGPXUJLQ,Wed,23:00,1
wrJROwvVKHvdMVIZO7HUrw,Thu,21:00,3
uU8up3hGwW9qnzQD1HZsMQ,Fri,0:00,1
JHPq9KvMuJaC7CPATSYeew,Sun,16:00,1
vyzfT3_KzLi8WmInwIVPeg,Thu,9:00,1
E4T0rQBJa0e4HIliBrI4lA,Thu,23:00,2
vuvnexwJzb1ydKLacBP8xg,Mon,18:00,1
BCORM4dEleJXnyPXoaH3HQ,Sun,22:00,2
CppOcUSapx5kU2lQNt2w5w,Tue,15:00,1
dEPGOBuRjV3p4mQ7fgPxxw,Thu,23:00,1
jCzrbfboRc3D-9_Gr0Wm9w,Tue,19:00,3
jkhEPQovg6JKPzUr43MC_g,Sun,19:00,2
5renm7L6gBnRkDHoPQVW3w,Mon,13:00,2
tku3pYiZrQLCT12MXr-OHA,Mon,18:00,2
uo-40ZDaRJBoh-PY4dbCgQ,Thu,18:00,1
LtbF0qDeCpQ95sMW_IEn0g,Fri,22:00,1
